,work_year,experience_level,employment_type,job_title,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
0,2023,EN,FT,Data Analyst,75000,US,100,US,M
1,2023,EN,FT,Data Analyst,60000,US,100,US,M
2,2023,MI,FT,Analytics Engineer,185700,US,0,US,M
3,2023,MI,FT,Analytics Engineer,165000,US,0,US,M
4,2023,SE,FT,Data Engineer,160000,US,100,US,M
5,2023,SE,FT,Data Engineer,130000,US,100,US,M
6,2023,SE,FT,Data Analyst,169000,US,0,US,M
7,2023,SE,FT,Data Analyst,110600,US,0,US,M
8,2023,SE,FT,Data Operations Engineer,193000,US,100,US,M
9,2023,SE,FT,Data Operations Engineer,136850,US,100,US,M
10,2023,SE,FT,Machine Learning Engineer,139500,US,0,US,M
11,2023,SE,FT,Machine Learning Engineer,109400,US,0,US,M
12,2023,SE,FT,Data Engineer,276000,US,100,US,M
13,2023,SE,FT,Data Engineer,178500,US,100,US,M
14,2023,MI,FT,Data Scientist,59188,ES,0,ES,M
15,2023,MI,FT,Data Scientist,48426,ES,0,ES,M
16,2023,MI,FT,Data Engineer,75330,SI,100,SI,M
17,2023,MI,FT,Data Engineer,48426,SI,100,SI,M
18,2023,SE,FT,Machine Learning Engineer,195940,GB,0,GB,M
19,2023,SE,FT,Machine Learning Engineer,101378,GB,0,GB,M
20,2023,SE,FT,Data Engineer,137158,GB,0,GB,M
21,2023,SE,FT,Data Engineer,101378,GB,0,GB,M
22,2023,SE,FT,Data Engineer,252000,US,0,US,M
23,2023,SE,FT,Data Engineer,129000,US,0,US,M
24,2022,SE,FT,BI Developer,130000,US,100,US,L
25,2021,MI,FT,Data Science Lead,150000,US,100,US,M
26,2023,SE,FT,Data Engineer,163800,US,0,US,M
27,2023,SE,FT,Data Engineer,126000,US,0,US,M
28,2023,SE,FT,ML Engineer,260000,CA,100,CA,M
29,2023,SE,FT,ML Engineer,110000,CA,100,CA,M
30,2023,SE,FT,Analytics Engineer,170000,US,100,US,M
31,2023,SE,FT,Analytics Engineer,130000,US,100,US,M
32,2023,SE,FT,Machine Learning Engineer,247500,US,0,US,M
33,2023,SE,FT,Machine Learning Engineer,172200,US,0,US,M
34,2023,SE,FT,Data Scientist,239748,US,0,US,M
35,2023,SE,FT,Data Scientist,159832,US,0,US,M
36,2023,SE,FT,Machine Learning Engineer,163800,US,0,US,M
37,2023,SE,FT,Machine Learning Engineer,126000,US,0,US,M
38,2023,MI,FT,Data Scientist,128750,US,0,US,M
39,2023,MI,FT,Data Scientist,106250,US,0,US,M
40,2023,SE,FT,Data Engineer,252000,US,0,US,M
41,2023,SE,FT,Data Engineer,129000,US,0,US,M
42,2023,SE,FT,Data Science Manager,299500,US,0,US,M
43,2023,SE,FT,Data Science Manager,245100,US,0,US,M
44,2023,MI,FT,Data Analytics Manager,155000,US,0,US,M
45,2023,MI,FT,Data Analytics Manager,140000,US,0,US,M
46,2023,EX,FT,Data Engineer,167500,US,0,US,M
47,2023,EX,FT,Data Engineer,106500,US,0,US,M
48,2023,SE,FT,Data Architect,188500,US,100,US,M
49,2023,SE,FT,Data Architect,117000,US,100,US,M
50,2023,SE,FT,Data Analyst,250000,US,100,US,M
51,2023,SE,FT,Data Analyst,138000,US,100,US,M
52,2023,MI,FT,Data Analyst,130000,CA,100,CA,M
53,2023,MI,FT,Data Analyst,100000,CA,100,CA,M
54,2022,SE,FT,BI Data Engineer,5000,NG,0,NG,M
55,2023,SE,FT,Deep Learning Researcher,123757,DE,0,DE,L
56,2023,SE,FT,Data Engineer,140000,US,0,US,M
57,2023,SE,FT,Data Engineer,120000,US,0,US,M
58,2023,SE,FT,BI Analyst,160000,US,0,US,M
59,2023,SE,FT,BI Analyst,135000,US,0,US,M
60,2023,MI,FT,Data Science Manager,104500,US,0,US,M
61,2023,MI,FT,Data Science Manager,70000,US,0,US,M
62,2023,MI,FT,Data Science Consultant,90000,US,0,US,M
63,2023,MI,FT,Data Science Consultant,70000,US,0,US,M
64,2023,SE,FT,Data Engineer,153600,US,100,US,M
65,2023,SE,FT,Data Engineer,106800,US,100,US,M
66,2023,EN,FT,Data Engineer,125000,US,0,US,M
67,2023,EN,FT,Data Engineer,90000,US,0,US,M
68,2023,MI,FT,Research Scientist,185000,US,100,US,M
69,2023,MI,FT,Research Scientist,125000,US,100,US,M
70,2023,SE,FT,Data Analyst,127000,US,100,US,M
71,2023,SE,FT,Data Analyst,94000,US,100,US,M
72,2023,SE,FT,Data Scientist,210550,US,0,US,M
73,2023,SE,FT,Data Scientist,153300,US,0,US,M
74,2023,MI,FT,Data Scientist,200000,US,100,US,M
75,2023,MI,FT,Data Scientist,150000,US,100,US,M
76,2023,SE,FT,Data Analyst,161500,US,100,US,M
77,2023,SE,FT,Data Analyst,119500,US,100,US,M
78,2023,SE,FT,Data Analyst,175000,US,0,US,M
79,2023,SE,FT,Data Analyst,145000,US,0,US,M
80,2023,SE,FT,Data Scientist,175000,US,0,US,M
81,2023,SE,FT,Data Scientist,148750,US,0,US,M
82,2023,SE,FT,Data Analytics Specialist,105000,US,0,US,M
83,2023,SE,FT,Data Analytics Specialist,85000,US,0,US,M
84,2023,SE,FT,Research Scientist,215000,US,0,US,M
85,2023,SE,FT,Research Scientist,146300,US,0,US,M
86,2023,EN,FT,AI Developer,215229,DE,100,DE,L
87,2023,MI,FT,Data Engineer,72000,MX,100,MX,M
88,2023,MI,FT,Data Engineer,60000,MX,100,MX,M
89,2023,SE,FT,Machine Learning Engineer,153400,US,0,US,M
90,2023,SE,FT,Machine Learning Engineer,122700,US,0,US,M
91,2023,MI,FT,Data Engineer,260000,US,0,US,M
92,2023,MI,FT,Data Engineer,175000,US,0,US,M
93,2023,SE,FT,Data Scientist,186300,US,100,US,M
94,2023,SE,FT,Data Scientist,123900,US,100,US,M
95,2023,MI,FT,Research Scientist,340000,US,100,US,M
96,2023,MI,FT,Research Scientist,150000,US,100,US,M
97,2023,SE,FT,Machine Learning Engineer,153400,US,0,US,M
98,2023,SE,FT,Machine Learning Engineer,122700,US,0,US,M
99,2023,MI,FT,Data Engineer,250000,US,0,US,M
100,2023,MI,FT,Data Engineer,175000,US,0,US,M
101,2023,MI,FT,Data Engineering,12000,NG,50,NG,L
102,2023,MI,FT,Data Scientist,64568,FR,50,FR,M
103,2023,SE,FT,Data Analyst,185900,US,0,US,M
104,2023,SE,FT,Data Analyst,121700,US,0,US,M
105,2023,SE,FT,Data Analyst,153600,US,0,US,M
106,2023,SE,FT,Data Analyst,106800,US,0,US,M
107,2023,SE,FL,Software Data Engineer,50000,NG,50,AU,M
108,2023,EN,FT,Data Analyst,100000,UZ,100,US,L
109,2023,SE,FT,Machine Learning Engineer,247500,US,0,US,M
110,2023,SE,FT,Machine Learning Engineer,172200,US,0,US,M
111,2023,EX,FT,Data Engineer,310000,US,100,US,M
112,2023,EX,FT,Data Engineer,239000,US,100,US,M
